snr_db,simulated_ber,theoretical_ber,total_bits,total_errors
0,0.199932,0.172953,6240000,1247573
2,0.156779,0.146124,6240000,978298
4,0.118623,0.115764,6240000,740206
6,0.0836676,0.0834727,6240000,522086
8,0.0524377,0.0523198,6240000,327211
10,0.0264458,0.0265326,6240000,165022
12,0.00978253,0.00972399,6240000,61043
14,0.00212051,0.002154,6240000,13232
16,0.000218109,0.000217174,6240000,1361
18,5.76923e-06,6.35115e-06,6240000,36
20,0,2.63389e-08,6240000,0
22,0,4.97444e-12,6240000,0
24,0,7.05901e-18,6240000,0
26,0,4.32246e-27,6240000,0
28,0,1.23193e-41,6240000,0
30,0,1.24533e-64,6240000,0
