snr_db,simulated_ber,theoretical_ber,total_bits,bit_errors
0,0.140822,0.13916,4160000,585818
1,0.119052,0.118346,4160000,495257
2,0.0979103,0.0975594,4160000,407307
3,0.0772272,0.0774154,4160000,321265
4,0.0586827,0.0586185,4160000,244120
5,0.0417123,0.0418923,4160000,173523
6,0.0279094,0.0278713,4160000,116103
7,0.016869,0.0169667,4160000,70175
8,0.00929375,0.00924721,4160000,38662
9,0.0044387,0.00439034,4160000,18465
10,0.00174904,0.00175415,4160000,7276
11,0.000573798,0.000564706,4160000,2387
12,0.000130769,0.000138659,4160000,544
