snr_db,simulated_ber,theoretical_ber,total_bits,bit_errors
0,0.152787,0.13916,2860000,436971
1,0.12228,0.118346,2860000,349721
2,0.0926,0.0975594,2860000,264836
3,0.0640101,0.0774154,2860000,183069
4,0.0402434,0.0586185,2860000,115096
5,0.0222469,0.0418923,2860000,63626
6,0.0104542,0.0278713,2860000,29899
7,0.00410594,0.0169667,2860000,11743
8,0.00123182,0.00924721,2860000,3523
9,0.00031049,0.00439034,2860000,888
10,3.70629e-05,0.00175415,2860000,106
11,8.04196e-06,0.000564706,2860000,23
12,0,0.000138659,2860000,0
